This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
cbba39c634484d3950f3da2c33e1f829f01c2abe8beee2f21570ed711f21957f 91 90 1935 714
34fea394e2fcfaad2d5308259ab86154a964956f7f054a6e6879e7a7be03a188 159 46 50325 51933
a0726a1b87358539aaa1922d4d957b2ffe3313bc26473f71448caeff9bf45dc5 71 0 0 0
125505b5dc4740b1047dddd93c8cc79b4c141b65f48c955964ebaae58ca4b323 29 19 1991 59
84d21e2e6635e5eb59a3b1d54b4270fcfa04988c5d068a2cd21d85d8379018e1 21 21 360569 214
8acfb189153674f8a6061423e2e68f75fa430a3538ba1d0ca05a526e7d77f8ac 80 43 35278 13324
8bbf61fce5949c88755a9a4a29330f0eca5d8110cd5030ab3a8802f35bc47005 5 5 405 4
fd7fa1fb1974ccffee8cb5ab9b70ddad199f2af7b061473e2a814b0942b95e21 49 47 463648 10399
f23647dfd034544d06c8166640e2ff27cdc46b1bb2f78d5aca460e2ce5bd4d58 5 5 23 0
4d061f307c2b34508c102d823395129856e8237ed20e64d0704ac89a4ddcdda8 32 25 2902 66
7a11713f2eda1176c8146de61cdc60d7db0c9be9044b966a4c90e7c1f74177fc 12 12 311 14
1c56bcc4851f2d813bc422a85602c6eb5b34408d0ef6c6380785e2e436c1e94e 14 4 13 10
56262be7708bdb9cebcf78fd916a198af77d9729938059722df49a05c5f4c8f5 7 7 17769 11
c2b07145136dfdb3de0b3a02c8836c77a76cbdb3a1fb4fa73d960670e65f27b5 28 26 60557 1890
b079cd771b8a533ab4084184eec949a67d7940fedb1dfd27f089d629e22a78f7 24 10 251 9
882b15586df64f30ad0c27bd211708a8f7bc36eef26547532aa0039d699a90e7 11 9 154402 157
236dd66ae78bd54fb1fd0fd42ac1975aa6c662b8c21966ada182cb1a5bec9a85 3 3 177 0
f5f5e11597b2de62d37ffe8f3788b3b98c372d6899b954b123461501054f04b0 3 3 14127 0
8102bf00f14e9a33ff92d495e8df21f91a4a18555c18ba5be1c865d9daa980fc 33 25 267498 1017
8fd600bdcda220b0bd97d597da7add011effeb4530e4a6e35dc7688d19ea2303 10 10 98517 80894
fdff29f4dee5a70651ad6e7a5362c285a051a90c498a21f329eced68f786f5a1 3 3 14308 242
9075b206da244e6088cdc3e3592cc8c23a0ce1094b3b3d84b1365d5a65822eb0 4 4 57416 0
87b406f8f4b9f1e6d9c77644d68ed2a69c2275764f18d1d35e0658bfe5712920 0 0 0 0
a202c372e843d7cb973c82562404969ee8085a41e4e18e86720363485404985e 1 1 151 0
640694c3fba4fb469d2f3d85975b6089c9421086b0a107afc994e529e2e78ea8 4 3 701 0
1371e3ed2b5e74f4a977b067932a36f6fdbc1ad1a4e63f21fda588b74bf58d86 16 11 61092 256
e87548d0c9fc6693056a3f3ab5bdbb1fd1d3ad22494ef979f2b64b7ba0dcd73c 1 1 153 0
fdc6174f7eb7b3491ff10248233c5410a3dce1a205e33424ead9b9fab1de1e42 20 19 34154 122
